"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 05 09:52:16 GMT 2024","Sat Oct 05 09:52:16 GMT 2024","591","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoUsernameInvalido","testChecarAutorizacaoUsernameInvalido()","CE-03 Tentar checar autorização com username inválido"
"passed","Sat Oct 05 09:52:19 GMT 2024","Sat Oct 05 09:52:20 GMT 2024","472","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComSenhaVazia","testRegistroComSenhaVazia()","CE-03 Tentar registro com campo senha vazio"
"passed","Sat Oct 05 09:52:16 GMT 2024","Sat Oct 05 09:52:17 GMT 2024","581","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoPasswordInvalido","testChecarAutorizacaoPasswordInvalido()","CE-04 Tentar checar autorização com senha inválida"
"passed","Sat Oct 05 09:52:11 GMT 2024","Sat Oct 05 09:52:14 GMT 2024","3461","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testValidarChecagemAutorizacaoComSucesso","testValidarChecagemAutorizacaoComSucesso()","CE-01 Validar checagem de autorização com credenciais válidas"
"passed","Sat Oct 05 09:52:21 GMT 2024","Sat Oct 05 09:52:22 GMT 2024","468","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaVazio","testLoginComSenhaVazio()","CE-06 Tentar login com campo senha vazio"
"passed","Sat Oct 05 09:52:17 GMT 2024","Sat Oct 05 09:52:18 GMT 2024","1293","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarListarTodosLivrosComSucesso","testValidarListarTodosLivrosComSucesso()","CE-01 Validar listar todos os livros"
"passed","Sat Oct 05 09:51:44 GMT 2024","Sat Oct 05 09:51:45 GMT 2024","571","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarContratoLogin","testValidarContratoLogin()","CE-00 Validar contrato de login"
"passed","Sat Oct 05 09:52:22 GMT 2024","Sat Oct 05 09:52:23 GMT 2024","708","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComSenhaInvalida","testLoginComSenhaInvalida()","CE-03 Tentar login com senha inválida"
"passed","Sat Oct 05 09:52:21 GMT 2024","Sat Oct 05 09:52:21 GMT 2024","721","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testValidarLoginComSucesso","testValidarLoginComSucesso()","CE-01 Validar login com credenciais válidas"
"passed","Sat Oct 05 09:52:19 GMT 2024","Sat Oct 05 09:52:19 GMT 2024","642","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testValidarRegistroComSucesso","testValidarRegistroComSucesso()","CE-01 Validar registro com credenciais válidas"
"passed","Sat Oct 05 09:52:14 GMT 2024","Sat Oct 05 09:52:16 GMT 2024","1341","","Endpoint de Checagem de Autorização","","org.restassured.bookstore.test.CheckAuthorizationTest","testChecarAutorizacaoDadosInvalidos","testChecarAutorizacaoDadosInvalidos()","CE-02 Tentar checar autorização com username e senha inválidos"
"passed","Sat Oct 05 09:52:20 GMT 2024","Sat Oct 05 09:52:21 GMT 2024","724","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameInvalida","testLoginComUsernameInvalida()","CE-04 Tentar login com username inválido"
"passed","Sat Oct 05 09:52:23 GMT 2024","Sat Oct 05 09:52:23 GMT 2024","700","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComDadosInvalidos","testLoginComDadosInvalidos()","CE-02 Tentar login com username e senha inválidos"
"passed","Sat Oct 05 09:52:23 GMT 2024","Sat Oct 05 09:52:24 GMT 2024","468","","Endpoint de Login","","org.restassured.bookstore.test.LoginTest","testLoginComUsernameVazio","testLoginComUsernameVazio()","CE-05 Tentar login com campo username vazio"
"passed","Sat Oct 05 09:51:40 GMT 2024","Sat Oct 05 09:51:44 GMT 2024","4467","","Endpoint de Listar todos os livros","","org.restassured.bookstore.test.BookTest","testValidarContratoListBooks","testValidarContratoListBooks()","CE-00 Validar contrato de listar livros"
"passed","Sat Oct 05 09:52:18 GMT 2024","Sat Oct 05 09:52:19 GMT 2024","467","","Endpoint de Registro","","org.restassured.bookstore.test.SignupTest","testRegistroComUsernameVazio","testRegistroComUsernameVazio()","CE-02 Tentar registro com campo username vazio"
